Tiago Moreau - Alexis Dumont
Léo Pierre - Liam Brunet
Imran Martin - Gabin Roche
Baptiste Blanchard - Théo Durand
Côme Gerard - Gabriel Leroux
Naël Garcia - Hugo Dupont
Ilyes Henry - Marius Renard
Joseph Giraud - Martin Marie
Noé Muller - Tiago Moreau
Malo Arnaud - Ayden Bertrand
Côme Gerard - Léo Pierre
Oscar Lemaire - Joseph Giraud
Malo Arnaud - Adam Lemoine
Owen Dubois - William Roger
Éden Petit - Younes Gauthier
Robin Robert - Gabin Roche
Youssef Faure - Adrien Bourgeois
Naïm Mercier - Mathis Rousseau
Robin Robert - Ayoub Benoit
Maël Meunier - Axel Thomas
Nathan Dumas - Léon Francois
Ibrahim Guerin - Thomas Gaillard
Gabin Roche - Adem Riviere
Maël Meunier - Liam Brunet
Noam Perrin - Simon Roussel
Léon Francois - Théo Durand
Yanis Renaud - Marius Renard
Maël Meunier - Lenny Masson
Léo Pierre - Lyam Robin
Sacha Philippe - Tom Lucas
Valentin Boyer - Wassim Morel
Valentin Boyer - Milo Richard
Éthan Fournier - Alexandre Marchand
Ali Aubert - Rayan Chevalier
Nolan Leclerc - Mathys Noel
Ibrahim Guerin - Kenzo Guillaume
Augustin Joly - Théo Durand
Paul Lefebvre - Sacha Philippe
Yanis Renaud - Maxime Olivier
Mathéo Rolland - Kylian Vincent
Kenzo Guillaume - Jean Nicolas
Benjamin Barbier - Évan Gautier
Évan Gautier - Kylian Vincent
Kylian Vincent - Jean Nicolas
Louka Morin - Noah Rey
Camille Garnier - Jules Leroy
Léon Francois - Tiago Moreau
Isaac Legrand - Mohamed Lefevre
Adam Lemoine - Adem Riviere
Ludwig Carl Moyzisch - Thomas Gaillard
Marceau Clement - William Roger
Mathys Noel - Arthur Vidal
Théo Durand - Milo Richard
Adem Riviere - Jean Nicolas
Noa Brun - Paul Lefebvre
Kaïs Colin - Yanis Renaud
Antonin Roux - Lenny Masson
Louka Morin - Alexandre Marchand
Ali Aubert - Paul Lefebvre
Logan Meyer - Adem Riviere
Lenny Masson - Noam Perrin
Mathis Rousseau - Antoine Leclercq
Elyesa Bazna - Axel Thomas
Côme Gerard - Raphaël Lacroix
